dataset_id,version_label,version_order,version_source,commit_sha,commit_date,authors,approx_size_bytes,session_commit_count,status
nwu-ctext/nchlt,session-2,2,commit_session,6ba40e1c7b2ddb1a158730ff7946bee21419898b,2022-10-28T16:36:48+00:00,mariosasko,38841,1,ok
lt-s/BAC_PIC_HOSPITAL,v2.1,1,tag,7343e2daa6851c2e1195db19f0f2cc1774b1d2a0,2025-12-22T07:20:51+00:00,wonjun-lts,435110897,1,ok
lt-s/BAC_PIC_HOSPITAL,v3.0,2,tag,e170630dc5a2d457c1ac6ad8cf18b19c9c4b268a,2026-01-06T07:42:59+00:00,Keito-Sonehara,434962179,1,ok
QFIN/FCMBench-Data,session-1,1,commit_session,dbc6c3ef3722bacf56797c81affa25a4c437cd49,2026-01-14T11:43:22+00:00,cmdyoooppp,3677000317,3,ok
QFIN/FCMBench-Data,session-2,2,commit_session,8205f87ddc44b4cf8769cc64135569915692cb1c,2026-01-15T09:50:40+00:00,parapluie-s,3684846790,1,ok
QFIN/FCMBench-Data,session-3,3,commit_session,803d95b83326be11bc9defb1b1cb28477bcf7329,2026-03-16T11:27:10+00:00,drsagat,8367547606,3,ok
QFIN/FCMBench-Data,session-4,4,commit_session,026f84680a895da08391f8c7f6932d1563c3963e,2026-03-17T01:27:22+00:00,drsagat,4690558282,1,ok
QFIN/FCMBench-Data,session-5,5,commit_session,865fdc53293c52166d15d436cd3596573f0ac833,2026-04-21T10:08:54+00:00,parapluie-s,4690725865,1,ok
QFIN/FCMBench-Data,session-6,6,commit_session,1e9e39f24bd1fdd54f90c88841f7af2619cc0eec,2026-04-30T10:49:45+00:00,parap1uie-s,4699022173,1,ok
QFIN/FCMBench-Data,session-7,7,commit_session,c93eee5cff97b4e796674f58bbe51fbe77778d00,2026-05-06T12:35:08+00:00,"parap1uie-s,parapluie-s",16788391173,2,ok
AILAB-VNUHCM/vivos,session-1,1,commit_session,0cbdf81482b8559d2e93a50faacc427a47852f08,2022-01-25T15:51:37+00:00,system,30023,4,ok
AILAB-VNUHCM/vivos,session-2,2,commit_session,5da959c1094b4925090596447022baa7440da3ed,2022-01-26T14:20:40+00:00,Quentin Lhoest,30306,1,ok
AILAB-VNUHCM/vivos,session-3,3,commit_session,ecddd2af104300b6d4135ac34de4ef174af3c0f0,2022-09-12T07:14:46+00:00,albertvillanova,31425,1,ok
AILAB-VNUHCM/vivos,session-4,4,commit_session,092b6229ab000786c819445b1609c4babac19e01,2022-10-28T16:41:56+00:00,mariosasko,16715,1,ok
AILAB-VNUHCM/vivos,session-5,5,commit_session,3cbfb2502e5e84776b4b778b020a09759f723f52,2023-06-14T08:29:21+00:00,albertvillanova,1474787455,2,ok
khrisyu/Qwen3-4B-Instruct-2507-best_of_n-prm-completions,session-1,1,commit_session,38c29a240cc82fb39ce7ac83553afa8f7f934b1a,2025-08-14T21:15:13+00:00,khrisyu,2192618,2,ok
khrisyu/Qwen3-4B-Instruct-2507-best_of_n-prm-completions,session-2,2,commit_session,e5d1d9554f6aa994714bdb7ff0500c64ff08451f,2025-08-15T05:21:06+00:00,khrisyu,11432245,4,ok
khrisyu/Qwen3-4B-Instruct-2507-best_of_n-prm-completions,session-3,3,commit_session,dbfac8f9ccc02392f7ff299652d4dd5c75c52b3f,2025-08-15T21:16:34+00:00,khrisyu,41555960,5,ok
khrisyu/Qwen3-4B-Instruct-2507-best_of_n-prm-completions,session-4,4,commit_session,50c756a798d02c93fd09b39df83c0337e3ca570e,2025-08-16T06:59:44+00:00,khrisyu,79772723,2,ok
